"","country","year","series","value"
"1","Afghanistan",2010,"Tourism expenditure (millions of US dollars)",147
"2","Afghanistan",2016,"Tourism expenditure (millions of US dollars)",62
"3","Afghanistan",2017,"Tourism expenditure (millions of US dollars)",16
"4","Afghanistan",2018,"Tourism expenditure (millions of US dollars)",50
"5","Albania",2010,"Tourist/visitor arrivals (thousands)",2191
"6","Albania",2016,"Tourist/visitor arrivals (thousands)",4070
"7","Albania",2017,"Tourist/visitor arrivals (thousands)",4643
"8","Albania",2018,"Tourist/visitor arrivals (thousands)",5340
"9","Albania",1995,"Tourism expenditure (millions of US dollars)",70
"10","Albania",2005,"Tourism expenditure (millions of US dollars)",880
"11","Albania",2010,"Tourism expenditure (millions of US dollars)",1778
"12","Albania",2016,"Tourism expenditure (millions of US dollars)",1821
"13","Albania",2017,"Tourism expenditure (millions of US dollars)",2050
"14","Albania",2018,"Tourism expenditure (millions of US dollars)",2306
"15","Algeria",1995,"Tourist/visitor arrivals (thousands)",520
"16","Algeria",2005,"Tourist/visitor arrivals (thousands)",1443
"17","Algeria",2010,"Tourist/visitor arrivals (thousands)",2070
"18","Algeria",2016,"Tourist/visitor arrivals (thousands)",2039
"19","Algeria",2017,"Tourist/visitor arrivals (thousands)",2451
"20","Algeria",2018,"Tourist/visitor arrivals (thousands)",2657
"21","Algeria",2005,"Tourism expenditure (millions of US dollars)",477
"22","Algeria",2010,"Tourism expenditure (millions of US dollars)",324
"23","Algeria",2016,"Tourism expenditure (millions of US dollars)",246
"24","Algeria",2017,"Tourism expenditure (millions of US dollars)",172
"25","American Samoa",1995,"Tourist/visitor arrivals (thousands)",34
"26","American Samoa",2005,"Tourist/visitor arrivals (thousands)",24.5
"27","American Samoa",2010,"Tourist/visitor arrivals (thousands)",23.1
"28","American Samoa",2016,"Tourist/visitor arrivals (thousands)",20.1
"29","American Samoa",2017,"Tourist/visitor arrivals (thousands)",20
"30","American Samoa",2018,"Tourist/visitor arrivals (thousands)",20.2
"31","American Samoa",2016,"Tourism expenditure (millions of US dollars)",22
"32","American Samoa",2017,"Tourism expenditure (millions of US dollars)",22
"33","Andorra",2005,"Tourist/visitor arrivals (thousands)",2418
"34","Andorra",2010,"Tourist/visitor arrivals (thousands)",1808
"35","Andorra",2016,"Tourist/visitor arrivals (thousands)",2819
"36","Andorra",2017,"Tourist/visitor arrivals (thousands)",3003
"37","Andorra",2018,"Tourist/visitor arrivals (thousands)",3042
"38","Angola",1995,"Tourist/visitor arrivals (thousands)",9
"39","Angola",2005,"Tourist/visitor arrivals (thousands)",210
"40","Angola",2010,"Tourist/visitor arrivals (thousands)",425
"41","Angola",2016,"Tourist/visitor arrivals (thousands)",397
"42","Angola",2017,"Tourist/visitor arrivals (thousands)",261
"43","Angola",2018,"Tourist/visitor arrivals (thousands)",218
"44","Angola",1995,"Tourism expenditure (millions of US dollars)",27
"45","Angola",2005,"Tourism expenditure (millions of US dollars)",103
"46","Angola",2010,"Tourism expenditure (millions of US dollars)",726
"47","Angola",2016,"Tourism expenditure (millions of US dollars)",628
"48","Angola",2017,"Tourism expenditure (millions of US dollars)",884
"49","Angola",2018,"Tourism expenditure (millions of US dollars)",557
"50","Anguilla",1995,"Tourist/visitor arrivals (thousands)",39
"51","Anguilla",2005,"Tourist/visitor arrivals (thousands)",62
"52","Anguilla",2010,"Tourist/visitor arrivals (thousands)",62
"53","Anguilla",2016,"Tourist/visitor arrivals (thousands)",79
"54","Anguilla",2017,"Tourist/visitor arrivals (thousands)",68.3
"55","Anguilla",2018,"Tourist/visitor arrivals (thousands)",55
"56","Anguilla",1995,"Tourism expenditure (millions of US dollars)",50
"57","Anguilla",2005,"Tourism expenditure (millions of US dollars)",86
